Octave version 3.8.1
Minc-tool-kit version 0.3.18-20130531
NIAK quarantine /home/pbellec/git/niak/commands/misc/niak_gb_vars.m
Deamon started on 15-Apr-2016 17:42:26
15-Apr-2016 17:42:27 Starting the pipeline manager...
15-Apr-2016 17:42:27 Starting the garbage collector...
15-Apr-2016 17:42:28 Starting worker number 1...
15-Apr-2016 17:42:28 Starting worker number 2...
15-Apr-2016 17:42:29 Starting worker number 3...
15-Apr-2016 17:42:29 Starting worker number 4...
15-Apr-2016 17:42:29 Starting worker number 5...
15-Apr-2016 17:42:29 Starting worker number 6...
15-Apr-2016 17:42:30 Starting worker number 7...
15-Apr-2016 17:42:30 Starting worker number 8...
15-Apr-2016 17:42:30 Starting worker number 9...
15-Apr-2016 17:42:31 Starting worker number 10...
15-Apr-2016 17:42:31 Starting worker number 11...
15-Apr-2016 17:42:31 Starting worker number 12...
15-Apr-2016 17:42:32 Starting worker number 13...
15-Apr-2016 17:42:32 Starting worker number 14...
15-Apr-2016 17:42:32 Starting worker number 15...
15-Apr-2016 17:42:33 Starting worker number 16...
15-Apr-2016 17:42:33 Starting worker number 17...
15-Apr-2016 17:42:34 Starting worker number 18...
15-Apr-2016 17:42:34 Starting worker number 19...
15-Apr-2016 17:42:34 Starting worker number 20...
15-Apr-2016 17:42:34 Starting worker number 21...
15-Apr-2016 17:42:35 Starting worker number 22...
15-Apr-2016 17:42:35 Starting worker number 23...
15-Apr-2016 17:42:35 Starting worker number 24...
15-Apr-2016 17:42:36 Starting worker number 25...
15-Apr-2016 17:42:36 Starting worker number 26...
15-Apr-2016 17:42:37 Starting worker number 27...
15-Apr-2016 17:42:37 Starting worker number 28...
15-Apr-2016 17:42:38 Starting worker number 29...
15-Apr-2016 17:42:38 Starting worker number 30...
15-Apr-2016 17:42:39 Starting worker number 31...
15-Apr-2016 17:42:39 Starting worker number 32...
15-Apr-2016 17:42:39 Starting worker number 33...
15-Apr-2016 17:42:40 Starting worker number 34...
15-Apr-2016 17:42:40 Starting worker number 35...
15-Apr-2016 17:42:40 Starting worker number 36...
15-Apr-2016 17:42:41 Starting worker number 37...
15-Apr-2016 17:42:41 Starting worker number 38...
15-Apr-2016 17:42:41 Starting worker number 39...
15-Apr-2016 17:42:42 Starting worker number 40...
15-Apr-2016 17:42:42 Starting worker number 41...
15-Apr-2016 17:42:43 Starting worker number 42...
15-Apr-2016 17:42:43 Starting worker number 43...
15-Apr-2016 17:42:44 Starting worker number 44...
15-Apr-2016 17:42:44 Starting worker number 45...
15-Apr-2016 17:42:44 Starting worker number 46...
15-Apr-2016 17:42:45 Starting worker number 47...
15-Apr-2016 17:42:45 Starting worker number 48...
15-Apr-2016 17:42:45 Starting worker number 49...
15-Apr-2016 17:42:46 Starting worker number 50...
15-Apr-2016 17:42:46 Starting worker number 51...
15-Apr-2016 17:42:46 Starting worker number 52...
15-Apr-2016 17:42:47 Starting worker number 53...
15-Apr-2016 17:42:47 Starting worker number 54...
15-Apr-2016 17:42:48 Starting worker number 55...
15-Apr-2016 17:42:48 Starting worker number 56...
15-Apr-2016 17:42:48 Starting worker number 57...
15-Apr-2016 17:42:49 Starting worker number 58...
15-Apr-2016 17:42:49 Starting worker number 59...
15-Apr-2016 17:42:50 Starting worker number 60...
15-Apr-2016 17:42:50 Starting worker number 61...
15-Apr-2016 17:42:51 Starting worker number 62...
15-Apr-2016 17:42:51 Starting worker number 63...
15-Apr-2016 17:42:51 Starting worker number 64...
15-Apr-2016 17:42:52 Starting worker number 65...
15-Apr-2016 17:42:52 Starting worker number 66...
15-Apr-2016 17:42:52 Starting worker number 67...
15-Apr-2016 17:42:53 Starting worker number 68...
15-Apr-2016 17:42:53 Starting worker number 69...
15-Apr-2016 17:42:53 Starting worker number 70...
15-Apr-2016 17:42:54 Starting worker number 71...
15-Apr-2016 17:42:55 Starting worker number 72...
15-Apr-2016 17:42:55 Starting worker number 73...
15-Apr-2016 17:42:56 Starting worker number 74...
15-Apr-2016 17:42:56 Starting worker number 75...
15-Apr-2016 17:42:56 Starting worker number 76...
15-Apr-2016 17:42:57 Starting worker number 77...
15-Apr-2016 17:42:57 Starting worker number 78...
15-Apr-2016 17:42:57 Starting worker number 79...
15-Apr-2016 17:42:58 Starting worker number 80...
15-Apr-2016 17:42:58 Starting worker number 81...
15-Apr-2016 17:42:58 Starting worker number 82...
15-Apr-2016 17:42:59 Starting worker number 83...
15-Apr-2016 17:42:59 Starting worker number 84...
15-Apr-2016 17:42:59 Starting worker number 85...
15-Apr-2016 17:42:59 Starting worker number 86...
15-Apr-2016 17:43:00 Starting worker number 87...
15-Apr-2016 17:43:00 Starting worker number 88...
15-Apr-2016 17:43:00 Starting worker number 89...
15-Apr-2016 17:43:00 Starting worker number 90...
15-Apr-2016 17:43:01 Starting worker number 91...
15-Apr-2016 17:43:01 Starting worker number 92...
15-Apr-2016 17:43:01 Starting worker number 93...
15-Apr-2016 17:43:02 Starting worker number 94...
15-Apr-2016 17:43:02 Starting worker number 95...
15-Apr-2016 17:43:02 Starting worker number 96...
15-Apr-2016 17:43:02 Starting worker number 97...
15-Apr-2016 17:43:03 Starting worker number 98...
15-Apr-2016 17:43:03 Starting worker number 99...
15-Apr-2016 17:43:03 Starting worker number 100...
15-Apr-2016 17:43:03 Starting worker number 101...
15-Apr-2016 17:43:04 Starting worker number 102...
15-Apr-2016 17:43:04 Starting worker number 103...
15-Apr-2016 17:43:04 Starting worker number 104...
15-Apr-2016 17:43:04 Starting worker number 105...
15-Apr-2016 17:43:05 Starting worker number 106...
15-Apr-2016 17:43:05 Starting worker number 107...
15-Apr-2016 17:43:05 Starting worker number 108...
15-Apr-2016 17:43:05 Starting worker number 109...
15-Apr-2016 17:43:06 Starting worker number 110...
15-Apr-2016 17:43:06 Starting worker number 111...
15-Apr-2016 17:43:06 Starting worker number 112...
15-Apr-2016 17:43:07 Starting worker number 113...
15-Apr-2016 17:43:07 Starting worker number 114...
15-Apr-2016 17:43:07 Starting worker number 115...
15-Apr-2016 17:43:08 Starting worker number 116...
15-Apr-2016 17:43:08 Starting worker number 117...
15-Apr-2016 17:43:08 Starting worker number 118...
15-Apr-2016 17:43:09 Starting worker number 119...
15-Apr-2016 17:43:09 Starting worker number 120...
15-Apr-2016 17:43:09 Starting worker number 121...
15-Apr-2016 17:43:09 Starting worker number 122...
15-Apr-2016 17:43:10 Starting worker number 123...
15-Apr-2016 17:43:10 Starting worker number 124...
15-Apr-2016 17:43:10 Starting worker number 125...
15-Apr-2016 17:43:10 Starting worker number 126...
15-Apr-2016 17:43:11 Starting worker number 127...
15-Apr-2016 17:43:11 Starting worker number 128...
15-Apr-2016 17:43:11 Starting worker number 129...
15-Apr-2016 17:43:11 Starting worker number 130...
15-Apr-2016 17:43:12 Starting worker number 131...
15-Apr-2016 17:43:12 Starting worker number 132...
15-Apr-2016 17:43:12 Starting worker number 133...
15-Apr-2016 17:43:12 Starting worker number 134...
15-Apr-2016 17:43:13 Starting worker number 135...
15-Apr-2016 17:43:13 Starting worker number 136...
15-Apr-2016 17:43:13 Starting worker number 137...
15-Apr-2016 17:43:13 Starting worker number 138...
15-Apr-2016 17:43:14 Starting worker number 139...
15-Apr-2016 17:43:14 Starting worker number 140...
15-Apr-2016 17:43:14 Starting worker number 141...
15-Apr-2016 17:43:14 Starting worker number 142...
15-Apr-2016 17:43:15 Starting worker number 143...
15-Apr-2016 17:43:15 Starting worker number 144...
15-Apr-2016 17:43:15 Starting worker number 145...
15-Apr-2016 17:43:16 Starting worker number 146...
15-Apr-2016 17:43:16 Starting worker number 147...
15-Apr-2016 17:43:16 Starting worker number 148...
15-Apr-2016 17:43:16 Starting worker number 149...
15-Apr-2016 17:43:17 Starting worker number 150...
15-Apr-2016 17:43:17 Starting worker number 151...
15-Apr-2016 17:43:17 Starting worker number 152...
15-Apr-2016 17:43:17 Starting worker number 153...
15-Apr-2016 17:43:18 Starting worker number 154...
15-Apr-2016 17:43:18 Starting worker number 155...
15-Apr-2016 17:43:18 Starting worker number 156...
15-Apr-2016 17:43:18 Starting worker number 157...
15-Apr-2016 17:43:19 Starting worker number 158...
15-Apr-2016 17:43:19 Starting worker number 159...
15-Apr-2016 17:43:19 Starting worker number 160...
15-Apr-2016 17:43:19 Starting worker number 161...
15-Apr-2016 17:43:20 Starting worker number 162...
15-Apr-2016 17:43:20 Starting worker number 163...
15-Apr-2016 17:43:21 Starting worker number 164...
15-Apr-2016 17:43:21 Starting worker number 165...
15-Apr-2016 17:43:21 Starting worker number 166...
15-Apr-2016 17:43:21 Starting worker number 167...
15-Apr-2016 17:43:22 Starting worker number 168...
15-Apr-2016 17:43:22 Starting worker number 169...
15-Apr-2016 17:43:22 Starting worker number 170...
15-Apr-2016 17:43:22 Starting worker number 171...
15-Apr-2016 17:43:23 Starting worker number 172...
15-Apr-2016 17:43:23 Starting worker number 173...
15-Apr-2016 17:43:23 Starting worker number 174...
15-Apr-2016 17:43:23 Starting worker number 175...
15-Apr-2016 17:43:24 Starting worker number 176...
15-Apr-2016 17:43:24 Starting worker number 177...
15-Apr-2016 17:43:24 Starting worker number 178...
15-Apr-2016 17:43:24 Starting worker number 179...
15-Apr-2016 17:43:25 Starting worker number 180...
15-Apr-2016 17:43:25 Starting worker number 181...
15-Apr-2016 17:43:26 Starting worker number 182...
15-Apr-2016 17:43:26 Starting worker number 183...
15-Apr-2016 17:43:27 Starting worker number 184...
15-Apr-2016 17:43:27 Starting worker number 185...
15-Apr-2016 17:43:28 Starting worker number 186...
15-Apr-2016 17:43:28 Starting worker number 187...
15-Apr-2016 17:43:29 Starting worker number 188...
15-Apr-2016 17:43:29 Starting worker number 189...
15-Apr-2016 17:43:30 Starting worker number 190...
15-Apr-2016 17:43:30 Starting worker number 191...
15-Apr-2016 17:43:31 Starting worker number 192...
15-Apr-2016 17:43:31 Starting worker number 193...
15-Apr-2016 17:43:31 Starting worker number 194...
15-Apr-2016 17:43:32 Starting worker number 195...
15-Apr-2016 17:43:32 Starting worker number 196...
15-Apr-2016 17:43:32 Starting worker number 197...
15-Apr-2016 17:43:33 Starting worker number 198...
15-Apr-2016 17:43:33 Starting worker number 199...
15-Apr-2016 17:43:34 Starting worker number 200...
15-Apr-2016 17:43:34 Starting worker number 201...
15-Apr-2016 17:43:35 Starting worker number 202...
15-Apr-2016 17:43:36 Starting worker number 203...
15-Apr-2016 17:43:36 Starting worker number 204...
15-Apr-2016 17:43:37 Starting worker number 205...
15-Apr-2016 17:43:37 Starting worker number 206...
15-Apr-2016 17:43:37 Starting worker number 207...
15-Apr-2016 17:43:38 Starting worker number 208...
15-Apr-2016 17:43:38 Starting worker number 209...
15-Apr-2016 17:43:38 Starting worker number 210...
15-Apr-2016 17:43:38 Starting worker number 211...
15-Apr-2016 17:43:39 Starting worker number 212...
15-Apr-2016 17:43:39 Starting worker number 213...
15-Apr-2016 17:43:40 Starting worker number 214...
15-Apr-2016 17:43:40 Starting worker number 215...
15-Apr-2016 17:43:41 Starting worker number 216...
15-Apr-2016 17:43:42 Starting worker number 217...
15-Apr-2016 17:43:42 Starting worker number 218...
15-Apr-2016 17:43:42 Starting worker number 219...
15-Apr-2016 17:43:43 Starting worker number 220...
15-Apr-2016 17:43:43 Starting worker number 221...
15-Apr-2016 17:43:44 Starting worker number 222...
15-Apr-2016 17:43:44 Starting worker number 223...
15-Apr-2016 17:43:44 Starting worker number 224...
15-Apr-2016 17:43:45 Starting worker number 225...
15-Apr-2016 17:43:45 Starting worker number 226...
15-Apr-2016 17:43:46 Starting worker number 227...
15-Apr-2016 17:43:46 Starting worker number 228...
15-Apr-2016 17:43:47 Starting worker number 229...
15-Apr-2016 17:43:47 Starting worker number 230...
15-Apr-2016 17:43:48 Starting worker number 231...
15-Apr-2016 17:43:48 Starting worker number 232...
15-Apr-2016 17:43:49 Starting worker number 233...
15-Apr-2016 17:43:49 Starting worker number 234...
15-Apr-2016 17:43:49 Starting worker number 235...
15-Apr-2016 17:43:50 Starting worker number 236...
15-Apr-2016 17:43:50 Starting worker number 237...
15-Apr-2016 17:43:51 Starting worker number 238...
15-Apr-2016 17:43:51 Starting worker number 239...
15-Apr-2016 17:43:52 Starting worker number 240...
15-Apr-2016 17:43:52 Starting worker number 241...
15-Apr-2016 17:43:53 Starting worker number 242...
15-Apr-2016 17:43:53 Starting worker number 243...
15-Apr-2016 17:43:53 Starting worker number 244...
15-Apr-2016 17:43:54 Starting worker number 245...
15-Apr-2016 17:43:54 Starting worker number 246...
15-Apr-2016 17:43:54 Starting worker number 247...
15-Apr-2016 17:43:54 Starting worker number 248...
15-Apr-2016 17:43:55 Starting worker number 249...
15-Apr-2016 17:43:55 Starting worker number 250...
15-Apr-2016 17:43:55 Starting worker number 251...
15-Apr-2016 17:43:55 Starting worker number 252...
15-Apr-2016 17:43:56 Starting worker number 253...
15-Apr-2016 17:43:56 Starting worker number 254...
15-Apr-2016 17:43:56 Starting worker number 255...
15-Apr-2016 17:43:56 Starting worker number 256...
